facility_class,building_type,design_level,demand_type,height_in,modal_height_in,drift_slight,drift_moderate,drift_extensive,drift_complete,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
Essential Facility (Special Building),C3L,Low-Code,Sd_inches,240,180,0.0038,0.0075,0.0188,0.0438,0.68,0.92,1.35,0.99,3.38,1.04,7.88,0.88
Essential Facility (Special Building),C3M,Low-Code,Sd_inches,600,450,0.0025,0.0050,0.0125,0.0292,1.12,0.77,2.25,0.79,5.62,0.78,13.12,0.93
Essential Facility (Special Building),C3H,Low-Code,Sd_inches,"1,440",864,0.0019,0.0038,0.0094,0.0219,1.62,0.68,3.24,0.69,8.10,0.70,18.90,0.88
Essential Facility (Special Building),PC1,Low-Code,Sd_inches,180,135,0.0050,0.0080,0.0201,0.0547,0.68,0.89,1.08,0.95,2.71,1.00,7.38,0.96
Essential Facility (Special Building),PC2L,Low-Code,Sd_inches,240,180,0.0050,0.0080,0.0201,0.0547,0.90,0.98,1.44,0.98,3.61,1.02,9.84,0.91
Essential Facility (Special Building),PC2M,Low-Code,Sd_inches,600,450,0.0033,0.0053,0.0134,0.0364,1.50,0.76,2.40,0.75,6.02,0.75,16.40,0.94
Essential Facility (Special Building),RM1L,Low-Code,Sd_inches,240,180,0.0050,0.0080,0.0201,0.0547,0.90,0.97,1.44,1.01,3.61,1.07,9.84,0.88
Essential Facility (Special Building),RM1M,Low-Code,Sd_inches,600,450,0.0033,0.0053,0.0134,0.0364,1.50,0.78,2.40,0.78,6.02,0.78,16.40,0.94
Essential Facility (Special Building),RM2L,Low-Code,Sd_inches,240,180,0.0050,0.0080,0.0201,0.0547,0.90,0.94,1.44,0.98,3.61,1.05,9.84,0.89
Essential Facility (Special Building),RM2M,Low-Code,Sd_inches,600,450,0.0033,0.0053,0.0134,0.0364,1.50,0.76,2.40,0.75,6.02,0.75,16.40,0.92
Essential Facility (Special Building),URML,Low-Code,Sd_inches,180,135,0.0038,0.0075,0.0187,0.0438,0.51,0.89,1.01,0.91,2.53,0.96,5.91,1.09
Essential Facility (Special Building),URMM,Low-Code,Sd_inches,420,315,0.0025,0.0050,0.0125,0.0292,0.79,0.81,1.57,0.84,3.94,0.87,9.19,0.82
Essential Facility (Special Building),MH,Low-Code,Sd_inches,120,120,0.0050,0.0100,0.0300,0.0875,0.60,0.81,1.20,0.89,3.60,0.97,10.50,0.86
Essential Facility (Special Building),W1,High-Code,PGA_g,,,,,,,0.32,0.64,0.78,0.64,2.00,0.64,3.22,0.64
Essential Facility (Special Building),W2,High-Code,PGA_g,,,,,,,0.35,0.64,0.82,0.64,1.76,0.64,3.13,0.64
Essential Facility (Special Building),S1L,High-Code,PGA_g,,,,,,,0.25,0.64,0.44,0.64,0.92,0.64,2.17,0.64
Essential Facility (Special Building),S1M,High-Code,PGA_g,,,,,,,0.17,0.64,0.34,0.64,0.85,0.64,2.10,0.64
Essential Facility (Special Building),S1H,High-Code,PGA_g,,,,,,,0.13,0.64,0.26,0.64,0.65,0.64,1.73,0.64
Essential Facility (Special Building),S2L,High-Code,PGA_g,,,,,,,0.33,0.64,0.58,0.64,1.10,0.64,2.07,0.64
Essential Facility (Special Building),S2M,High-Code,PGA_g,,,,,,,0.18,0.64,0.35,0.64,0.97,0.64,2.34,0.64
Essential Facility (Special Building),S2H,High-Code,PGA_g,,,,,,,0.14,0.64,0.27,0.64,0.81,0.64,2.13,0.64
Essential Facility (Special Building),S3,High-Code,PGA_g,,,,,,,0.19,0.64,0.36,0.64,0.79,0.64,1.44,0.64
Essential Facility (Special Building),S4L,High-Code,PGA_g,,,,,,,0.34,0.64,0.54,0.64,1.04,0.64,1.91,0.64
Essential Facility (Special Building),S4M,High-Code,PGA_g,,,,,,,0.21,0.64,0.37,0.64,0.98,0.64,2.27,0.64
Essential Facility (Special Building),S4H,High-Code,PGA_g,,,,,,,0.16,0.64,0.32,0.64,0.90,0.64,2.29,0.64
Essential Facility (Special Building),C1L,High-Code,PGA_g,,,,,,,0.29,0.64,0.51,0.64,1.07,0.64,2.06,0.64
Essential Facility (Special Building),C1M,High-Code,PGA_g,,,,,,,0.19,0.64,0.36,0.64,1.02,0.64,2.48,0.64
Essential Facility (Special Building),C1H,High-Code,PGA_g,,,,,,,0.14,0.64,0.28,0.64,0.83,0.64,2.03,0.64
Essential Facility (Special Building),C2L,High-Code,PGA_g,,,,,,,0.33,0.64,0.66,0.64,1.42,0.64,2.40,0.64
Essential Facility (Special Building),C2M,High-Code,PGA_g,,,,,,,0.22,0.64,0.49,0.64,1.24,0.64,2.97,0.64
Essential Facility (Special Building),C2H,High-Code,PGA_g,,,,,,,0.15,0.64,0.37,0.64,1.11,0.64,2.80,0.64
Essential Facility (Special Building),PC1,High-Code,PGA_g,,,,,,,0.25,0.64,0.48,0.64,1.02,0.64,1.86,0.64
Essential Facility (Special Building),PC2L,High-Code,PGA_g,,,,,,,0.32,0.64,0.51,0.64,1.03,0.64,1.78,0.64
Essential Facility (Special Building),PC2M,High-Code,PGA_g,,,,,,,0.22,0.64,0.40,0.64,0.92,0.64,2.25,0.64
Essential Facility (Special Building),PC2H,High-Code,PGA_g,,,,,,,0.15,0.64,0.30,0.64,0.83,0.64,2.13,0.64
Essential Facility (Special Building),RM1L,High-Code,PGA_g,,,,,,,0.39,0.64,0.65,0.64,1.52,0.64,2.53,0.64
Essential Facility (Special Building),RM1M,High-Code,PGA_g,,,,,,,0.25,0.64,0.50,0.64,1.15,0.64,2.76,0.64
Essential Facility (Special Building),RM2L,High-Code,PGA_g,,,,,,,0.34,0.64,0.59,0.64,1.41,0.64,2.36,0.64
Essential Facility (Special Building),RM2M,High-Code,PGA_g,,,,,,,0.22,0.64,0.43,0.64,1.05,0.64,2.65,0.64
Essential Facility (Special Building),RM2H,High-Code,PGA_g,,,,,,,0.15,0.64,0.30,0.64,0.89,0.64,2.58,0.64
Essential Facility (Special Building),MH,High-Code,PGA_g,,,,,,,0.16,0.64,0.26,0.64,0.45,0.64,0.88,0.64
Essential Facility (Special Building),W1,Moderate-Code,PGA_g,,,,,,,0.32,0.64,0.59,0.64,1.32,0.64,2.08,0.64
Essential Facility (Special Building),W2,Moderate-Code,PGA_g,,,,,,,0.28,0.64,0.51,0.64,1.00,0.64,1.83,0.64
Essential Facility (Special Building),S1L,Moderate-Code,PGA_g,,,,,,,0.20,0.64,0.31,0.64,0.60,0.64,1.29,0.64
Essential Facility (Special Building),S1M,Moderate-Code,PGA_g,,,,,,,0.16,0.64,0.28,0.64,0.60,0.64,1.27,0.64
Essential Facility (Special Building),S1H,Moderate-Code,PGA_g,,,,,,,0.13,0.64,0.22,0.64,0.51,0.64,1.17,0.64
Essential Facility (Special Building),S2L,Moderate-Code,PGA_g,,,,,,,0.27,0.64,0.37,0.64,0.67,0.64,1.27,0.64
Essential Facility (Special Building),S2M,Moderate-Code,PGA_g,,,,,,,0.17,0.64,0.28,0.64,0.69,0.64,1.40,0.64
Essential Facility (Special Building),S2H,Moderate-Code,PGA_g,,,,,,,0.14,0.64,0.23,0.64,0.63,0.64,1.44,0.64
Essential Facility (Special Building),S3,Moderate-Code,PGA_g,,,,,,,0.18,0.64,0.26,0.64,0.46,0.64,0.86,0.64
Essential Facility (Special Building),S4L,Moderate-Code,PGA_g,,,,,,,0.26,0.64,0.36,0.64,0.61,0.64,1.17,0.64
Essential Facility (Special Building),S4M,Moderate-Code,PGA_g,,,,,,,0.18,0.64,0.29,0.64,0.69,0.64,1.33,0.64
Essential Facility (Special Building),S4H,Moderate-Code,PGA_g,,,,,,,0.16,0.64,0.26,0.64,0.66,0.64,1.42,0.64
Essential Facility (Special Building),C1L,Moderate-Code,PGA_g,,,,,,,0.23,0.64,0.33,0.64,0.63,0.64,1.22,0.64
Essential Facility (Special Building),C1M,Moderate-Code,PGA_g,,,,,,,0.17,0.64,0.28,0.64,0.70,0.64,1.38,0.64
Essential Facility (Special Building),C1H,Moderate-Code,PGA_g,,,,,,,0.14,0.64,0.23,0.64,0.59,0.64,1.15,0.64
Essential Facility (Special Building),C2L,Moderate-Code,PGA_g,,,,,,,0.26,0.64,0.44,0.64,0.77,0.64,1.34,0.64
Essential Facility (Special Building),C2M,Moderate-Code,PGA_g,,,,,,,0.20,0.64,0.35,0.64,0.81,0.64,1.63,0.64
Essential Facility (Special Building),C2H,Moderate-Code,PGA_g,,,,,,,0.15,0.64,0.30,0.64,0.78,0.64,1.63,0.64
Essential Facility (Special Building),PC1,Moderate-Code,PGA_g,,,,,,,0.24,0.64,0.33,0.64,0.63,0.64,1.05,0.64
Essential Facility (Special Building),PC2L,Moderate-Code,PGA_g,,,,,,,0.24,0.64,0.35,0.64,0.59,0.64,1.06,0.64
Essential Facility (Special Building),PC2M,Moderate-Code,PGA_g,,,,,,,0.19,0.64,0.29,0.64,0.62,0.64,1.27,0.64
Essential Facility (Special Building),PC2H,Moderate-Code,PGA_g,,,,,,,0.15,0.64,0.25,0.64,0.60,0.64,1.30,0.64
Essential Facility (Special Building),RM1L,Moderate-Code,PGA_g,,,,,,,0.31,0.64,0.44,0.64,0.79,0.64,1.33,0.64
Essential Facility (Special Building),RM1M,Moderate-Code,PGA_g,,,,,,,0.24,0.64,0.36,0.64,0.74,0.64,1.65,0.64
Essential Facility (Special Building),RM2L,Moderate-Code,PGA_g,,,,,,,0.28,0.64,0.41,0.64,0.74,0.64,1.27,0.64
Essential Facility (Special Building),RM2M,Moderate-Code,PGA_g,,,,,,,0.21,0.64,0.32,0.64,0.69,0.64,1.58,0.64
Essential Facility (Special Building),RM2H,Moderate-Code,PGA_g,,,,,,,0.15,0.64,0.25,0.64,0.64,0.64,1.53,0.64
Essential Facility (Special Building),MH,Moderate-Code,PGA_g,,,,,,,0.16,0.64,0.26,0.64,0.45,0.64,0.88,0.64
Essential Facility (Special Building),W1,Low-Code,PGA_g,,,,,,,0.28,0.64,0.50,0.64,1.00,0.64,1.51,0.64
Essential Facility (Special Building),W2,Low-Code,PGA_g,,,,,,,0.21,0.64,0.34,0.64,0.68,0.64,1.10,0.64
Essential Facility (Special Building),S1L,Low-Code,PGA_g,,,,,,,0.16,0.64,0.23,0.64,0.42,0.64,0.71,0.64
Essential Facility (Special Building),S1M,Low-Code,PGA_g,,,,,,,0.15,0.64,0.23,0.64,0.42,0.64,0.73,0.64
Essential Facility (Special Building),S1H,Low-Code,PGA_g,,,,,,,0.13,0.64,0.20,0.64,0.40,0.64,0.71,0.64
Essential Facility (Special Building),S2L,Low-Code,PGA_g,,,,,,,0.19,0.64,0.25,0.64,0.44,0.64,0.74,0.64
Essential Facility (Special Building),S2M,Low-Code,PGA_g,,,,,,,0.16,0.64,0.24,0.64,0.52,0.64,0.88,0.64
Essential Facility (Special Building),S2H,Low-Code,PGA_g,,,,,,,0.14,0.64,0.21,0.64,0.50,0.64,0.93,0.64
Essential Facility (Special Building),S3,Low-Code,PGA_g,,,,,,,0.14,0.64,0.18,0.64,0.30,0.64,0.57,0.64
Essential Facility (Special Building),S4L,Low-Code,PGA_g,,,,,,,0.19,0.64,0.23,0.64,0.38,0.64,0.68,0.64
Essential Facility (Special Building),S4M,Low-Code,PGA_g,,,,,,,0.16,0.64,0.23,0.64,0.47,0.64,0.81,0.64
Essential Facility (Special Building),S4H,Low-Code,PGA_g,,,,,,,0.15,0.64,0.23,0.64,0.48,0.64,0.87,0.64
Essential Facility (Special Building),S5L,Low-Code,PGA_g,,,,,,,0.18,0.64,0.26,0.64,0.41,0.64,0.68,0.64
Essential Facility (Special Building),S5M,Low-Code,PGA_g,,,,,,,0.14,0.64,0.24,0.64,0.50,0.64,0.80,0.64
Essential Facility (Special Building),S5H,Low-Code,PGA_g,,,,,,,0.13,0.64,0.24,0.64,0.51,0.64,0.84,0.64
Essential Facility (Special Building),C1L,Low-Code,PGA_g,,,,,,,0.17,0.64,0.22,0.64,0.39,0.64,0.67,0.64
Essential Facility (Special Building),C1M,Low-Code,PGA_g,,,,,,,0.15,0.64,0.23,0.64,0.48,0.64,0.80,0.64
Essential Facility (Special Building),C1H,Low-Code,PGA_g,,,,,,,0.13,0.64,0.20,0.64,0.39,0.64,0.66,0.64
Essential Facility (Special Building),C2L,Low-Code,PGA_g,,,,,,,0.19,0.64,0.27,0.64,0.44,0.64,0.79,0.64
Essential Facility (Special Building),C2M,Low-Code,PGA_g,,,,,,,0.16,0.64,0.26,0.64,0.56,0.64,0.93,0.64
